init,tally,print
0.0739,39.2172,2.7088
0.0699,39.225,2.8472
0.0685,39.8732,2.8958
0.1019,41.2127,2.824
0.067,39.3841,3.039
0.0672,41.8806,3.0329
0.0676,40.5403,2.687
0.0753,39.2169,2.4777
0.0675,39.4385,2.8692
0.0675,39.7197,2.8933
0.0685,40.2789,2.5791
0.068,39.0558,2.2935
0.0636,39.352,2.6112
0.0652,39.2436,2.8515
0.0653,40.2419,2.6651
0.0703,39.739,2.6367
0.0656,39.1484,2.8626
0.0661,39.985,2.1773
0.065,39.2131,2.5481
0.0685,39.6294,2.6686
0.0671,39.243,2.2991
0.0588,40.2291,2.6488
0.0745,39.1746,2.7174
0.0653,41.9836,2.6655
0.0745,39.2625,2.8482
0.0668,40.2092,2.6477
0.0678,39.4073,2.7512
0.0674,39.2677,2.67
0.094,40.1337,2.8939
0.0824,39.9593,2.5829
0.0628,39.3256,2.753
0.0649,39.3349,2.7664
0.0703,39.1614,2.6081
0.072,40.457,2.6533
0.0738,39.2529,2.7123
0.0668,39.7807,2.4534
0.0686,39.3728,2.6651
0.0696,40.2942,2.8926
0.0618,39.2386,2.3879
0.0713,39.121,2.659
0.0655,40.5357,2.0542
0.0601,39.261,2.6315
0.0641,39.6986,2.8081
0.0679,39.1622,2.8627
0.0713,44.8155,2.3202
0.0611,39.2656,2.8079
0.0713,39.2414,2.8027
0.0676,39.3917,2.4846
0.0649,39.7929,2.5967
0.0637,39.2379,2.7431
0.0663,39.1556,2.6494
0.0656,39.1874,2.6651
0.0646,39.8506,2.5122
0.0923,40.7168,2.871
0.0742,39.5028,2.7895
0.0632,39.1229,2.5229
0.0781,40.2231,2.6325
0.0664,39.1945,2.733
0.068,39.2702,2.398
0.0934,39.7397,2.3637
0.066,40.0455,2.7375
0.0663,39.4873,2.5852
0.0638,39.9507,2.8631
0.0696,39.2097,2.92
0.0708,40.0493,2.6914
0.0644,39.4261,2.29
0.0653,41.7899,2.7871
0.0673,40.4107,2.3244
0.0563,39.2019,2.8604
0.0679,39.2043,2.8207
0.0686,39.1369,2.7562
0.0674,40.2334,2.2843
0.0636,39.2176,2.6056
0.0658,39.3697,2.7149
0.0645,40.3268,3.0807
0.0667,40.0402,2.7497
0.0652,39.1479,2.5241
0.0628,39.2644,2.9168
0.0979,42.7872,2.7642
0.0691,39.9821,2.356
0.0751,39.2492,2.6957
0.0648,39.1659,2.7471
0.0646,39.2438,2.9531
0.0711,40.3398,2.6862
0.0661,39.2711,2.4644
